"Gene_Name","Log_Fold_Change","P_Value"
"Mcm3",0.0835929362205786,0.816780084655205
"Efhc1",0.0638269005815555,0.915844623727015
"Gm24171",1.87261233145316,0.66999262007769
"Paqr8",0.294942814508728,0.327325888350219
"Tram2",0.446012607478656,0.355130532390183
"Gsta3",0.436282168929022,0.385128323833496
"Gm7094",0.166735731612886,0.968631198914986
"Gm2693",0.783574694438788,0.511028765593571
"Tmem14a",-0.142036358361745,0.474198819390419
"Gm38224",0.944105790410059,0.373333610585534
"Gm28836",1.95930187489463,0.287852690450222
"Kcnq5",-1.30602228847416,0.35437081554485
"Gm38243",-0.433181484424711,0.845646362754212
"Gm36949",4.18523614372113,0.279752478342801
"Gm7658",-0.197265530016588,0.860460031445104
"Rims1",-0.12574669533671,0.421813165574616
"Gm26866",-3.13269370308105,0.458827839047741
"Ogfrl1",0.222886744454221,0.657121814181252
"B3gat2",0.129466597854829,0.616959575402046
"Smap1",-0.2888306591616,0.137762062855371
"Gm26524",0.403537223086937,0.75857545895987
"Sdhaf4",-0.0718824037031913,0.703688252981015
"Fam135a",0.0454355840267972,0.803357801051176
"Col9a1",-0.0520972349704605,0.763325000972926
"Adgrb3",-0.0768783798970514,0.50009736389142
"Gm15702",-2.87414228068092,0.498003761931497
"Gm22260",1.22227068201943,0.781525664151018
"2900002M20Rik",-0.266349937586199,0.644239038471232
"Gm25294",3.83715526853465,0.179777146089236
"2900022M07Rik",-0.0783150111388625,0.831698107824068
"8030445P17Rik",0.228482136039973,0.53537492391046
"Gm37602",0.0947869236698851,0.722785096330022
"Gm37880",0.13712908900641,0.724986130799197
"Gm38260",-0.0862122022837991,0.797474697149367
"Gm37211",0.221998852911909,0.50859082199462
"Gm38198",-0.222702971210867,0.592237697060473
"Gm20172",0.424069931417283,0.410550362219544
"Gm37331",0.537221592153678,0.263674557139933
"Gm37895",-0.0344014932363249,0.936879402968024
"Gm29214",0.864860071422096,0.0841775070959407
"Gm36952",0.273995986789575,0.610459612770601
"Gm37011",0.189799506144262,0.716743711462459
"Gm37051",0.805555209830343,0.0746905571090751
"Gm37543",0.337204086181528,0.626124024026516
"Gm38286",0.117343284387603,0.826423860352804
"Gm37862",0.845517838953391,0.187962656142136
"Gm37077",0.291875116994781,0.507290000059641
"Gm37628",-0.456904491887982,0.499518888826836
"Gm9884",-0.607109107436419,0.315847016613223
"Gm5525",0.177456953236904,0.864045199420407
"Gm6473",0.206390988776298,0.739654351230296
"Phf3",-0.411381155231428,0.177541785474244
"Gm37906",0.682419509879694,0.0804382101695177
"Gm37522",-0.154624721335731,0.748438766463944
"Ptp4a1",-0.126069647595253,0.620007079863614
"Ptp4a1",-1.11457964955848,0.178412489135044
"Gm19680",-0.419954607077363,0.547709615050322
"Gm23024",2.87955216507342,0.509397966950698
"Gm37724",-0.22387013998858,0.409665268044975
"Gm7114",1.53502105564828,0.336713398453112
"Gm25814",0.740290986675331,0.866608176566357
"Khdrbs2",-0.0185596102994164,0.929112159950657
"Gm9839",4.04145283501029,0.136428917689967
"Gm5415",1.08280125769068,0.21926462807459
"Gm37999",-0.134665233650447,0.796172894719171
"Gm37911",0.336602154774002,0.753062498129365
"Gm37792",0.327270197573244,0.657618928419636
"Gm37110",0.265500631496784,0.77530853129461
"Prim2",-0.119068146856898,0.486942407558898
"Gm29228",-1.53578196871889,0.659240688059006
"Gm37618",2.20659520182782,0.142056954510519
"Gm17813",6.13583176049277,0.00645704068896329
"Rab23",-0.151305405909228,0.444493061734776
"Gm37905",0,1
"Bag2",-0.692040256900242,0.317442976745537
