GeneID	log2FoldChange	padj
N	1.55665017155564	NA
N	-0.0581637228381178	0.998003304127109
N	-0.134112135446857	0.996408278577198
N	-1.60863583226365	NA
N	-1.36053011733463	NA
N	NA	NA
N	1.80636221297995	NA
N	0.0381033411877385	0.998078405714302
N	0.293393101962009	0.913972475147607
N	-0.493723014618857	0.998003304127109
N	0.46074084294548	NA
N	-1.21418740613604	0.998003304127109
N	-2.11354212220424	NA
N	0.301672945073948	0.963514317667088
N	-0.700965719527417	NA
N	0.400319036854908	0.998003304127109
N	0	NA
N	-0.0597582968426633	0.998003304127109
N	0.550704577158583	0.998003304127109
N	0.784848624110747	0.998003304127109
N	3.06347132312258	NA
N	-2.08073724066926	NA
N	0	NA
N	3.95838413575554	NA
N	1.33489708939731	NA
N	0.0610633355389611	0.998003304127109
N	-1.08961643614464	NA
N	0.0232498057867458	0.998003304127109
N	-0.0662162134333805	0.998003304127109
N	-0.320461248999581	0.957755616215519
N	0.117542373346197	0.998003304127109
N	-0.304704940997747	0.998003304127109
N	0.0823866428161422	0.998003304127109
N	0.167684608364805	0.993366495578646
N	1.22391199451383	0.992732560410177
